MA_TS,HOTEN,CCCD,NGAYSINH,SDT,EMAIL
TS0001,Yến Đặng,226997273935,2004-10-17,961252147,yendang27@gmail.com
TS0002,Kim Nguyễn,533456265405,2004-11-04,995947060,kimnguyen21@gmail.com
TS0003,Linh Phạm,208270224299,1995-10-19,349903791,linhpham45@gmail.com
TS0004,Ánh Dương,488955025572,2004-09-15,903720904,anhduong76@gmail.com
TS0005,Trọng Nguyễn,898967702594,2001-03-20,549962063,trongnguyen47@gmail.com
TS0006,Hạnh Đức Bùi,916634763896,2004-06-08,997323805,hanhducbui28@gmail.com
TS0007,Khoa Dương,503215968712,2002-08-25,847098287,khoaduong63@gmail.com
TS0008,Hải Đặng,31412090251,2005-12-02,555259962,haidang50@gmail.com
TS0009,Lâm Dương,496707469436,2007-08-13,773931118,lamduong83@gmail.com
TS0010,Khoa Thị Bùi,653576515784,2007-02-16,714779069,khoathibui88@gmail.com
TS0011,Trung Bùi,99699847488,2003-08-24,929718852,trungbui26@gmail.com
TS0012,Hạnh Dương,551652844971,2002-07-19,750887372,hanhduong91@gmail.com
TS0013,Bảo Nguyễn,415326708490,2002-07-17,938799476,baonguyen90@gmail.com
TS0014,Minh Mai,852367556808,1998-05-25,346378893,minhmai96@gmail.com
TS0015,Hải Đức Hoàng,423949181330,2003-11-08,857207165,haiduchoang46@gmail.com
TS0016,Quang Mai,19266490398,2007-04-21,966048848,quangmai22@gmail.com
TS0017,Quang Mai,17503998969,2002-12-24,810479937,quangmai15@gmail.com
TS0018,Quang Thị Lê,108405624745,2007-09-12,789546611,quangthile50@gmail.com
TS0019,Quý ông Nam Hoàng,677567064029,2000-02-24,891618671,quyongnamhoang12@gmail.com
TS0020,Nhật Dương,864495647510,2003-08-02,966741704,nhatduong38@gmail.com
TS0021,Nhật Vũ,939377046317,2003-04-19,890824846,nhatvu99@gmail.com
TS0022,Thành Bảo Đặng,922696008861,2004-04-22,921658915,thanhbaodang67@gmail.com
TS0023,Hải Mai,589238907745,2005-06-10,907024611,haimai21@gmail.com
TS0024,Khoa Trần,704110668010,2001-01-26,987512783,khoatran47@gmail.com
TS0025,Lan Hoàng,933521294874,2002-08-24,533802577,lanhoang43@gmail.com
TS0026,Kim Hoàng,945327720577,2005-04-28,988275394,kimhoang31@gmail.com
TS0027,Tùng Lê,447741601170,2002-06-21,990623813,tungle28@gmail.com
TS0028,Nhật Đức Dương,282351619429,2001-09-28,369202366,nhatducduong47@gmail.com
TS0029,Kim Vũ,764619726392,2003-12-19,708716783,kimvu73@gmail.com
TS0030,Hoàng Thế Hoàng,414815689546,2003-03-15,889188056,hoangthehoang43@gmail.com
TS0031,Huy Xuân Đặng,148239340250,2003-06-28,583081066,huyxuandang74@gmail.com
TS0032,Ánh Vũ,844465483729,2007-09-13,704300841,anhvu29@gmail.com
TS0033,Hưng Trí Trần,17235014063,2004-07-01,867144947,hungtritran27@gmail.com
TS0034,Hưng Nguyễn,170667749448,2004-06-07,759595380,hungnguyen44@gmail.com
TS0035,Kim Mai Mai,942459009311,2005-07-15,822408410,kimmaimai61@gmail.com
TS0036,Hoàng Trần,640708345379,2004-10-16,319031371,hoangtran79@gmail.com
TS0037,An Trần,557321967436,2007-04-12,337123599,antran89@gmail.com
TS0038,Quý cô Hạnh Lê,606307278006,2006-02-25,710087343,quycohanhle51@gmail.com
TS0039,Phạm,5855715718,2001-12-13,538874745,pham34@gmail.com
TS0040,Ngọc Nguyễn,696533325806,2001-04-21,913976234,ngocnguyen52@gmail.com
TS0041,Dương Bùi,991551889946,1999-03-14,529879728,duongbui50@gmail.com
TS0042,Bảo Nguyễn,917114034322,2000-11-05,333822581,baonguyen68@gmail.com
TS0043,Thành Xuân Mai,4873561565,1996-08-24,752800410,thanhxuanmai51@gmail.com
TS0044,Nam Thế Mai,858207973474,2007-09-20,303930207,namthemai62@gmail.com
TS0045,Quý cô Phương Dương,198247034032,2005-02-01,862312139,quycophuongduong33@gmail.com
TS0046,Quý cô Mai Phạm,690329192578,2003-12-21,540845298,quycomaipham65@gmail.com
TS0047,Nhiên Hoàng,317403295575,2003-07-06,719793982,nhienhoang51@gmail.com
TS0048,Huy Bùi,160882692391,2003-12-06,567655923,huybui55@gmail.com
TS0049,Quý cô Ngọc Mai,383354467169,2005-02-13,812342977,quycongocmai38@gmail.com
TS0050,Minh Vũ,152849850551,2003-02-26,925607191,minhvu35@gmail.com
TS0051,Hà Dương,724814694109,2007-04-08,552184781,haduong36@gmail.com
TS0052,Mai Bùi,887266109011,2000-02-12,504606177,maibui62@gmail.com
TS0053,Tú Hoàng,31539142287,2001-10-08,787438906,tuhoang83@gmail.com
TS0054,Bảo Nguyễn,828406536834,2000-06-28,744230765,baonguyen20@gmail.com
TS0055,Hà Đức Đặng,868855023330,2007-04-01,738496536,haducdang55@gmail.com
TS0056,Kim Vũ,15792994918,2000-04-05,964041574,kimvu85@gmail.com
TS0057,Kim Xuân Lê,775465753712,2002-06-25,985394007,kimxuanle55@gmail.com
TS0058,Dũng Bảo Trần,205325165003,1997-08-12,934998041,dungbaotran49@gmail.com
TS0059,Ngọc Bùi,15937629508,2000-02-27,738208082,ngocbui94@gmail.com
TS0060,Chi Nguyễn,419477193369,2004-08-20,891063524,chinguyen22@gmail.com
TS0061,Khoa Hữu Lê,187679884302,2004-11-27,778019386,khoahuule29@gmail.com
TS0062,Phương Tấn Bùi,716947110685,2003-12-16,871258059,phuongtanbui42@gmail.com
TS0063,Trọng Mai Vũ,208310181967,2003-06-11,835884116,trongmaivu98@gmail.com
TS0064,Hạnh Phạm,174726647368,1996-02-15,334203886,hanhpham41@gmail.com
TS0065,An Lê,931399492503,2006-11-22,984401180,anle66@gmail.com
TS0066,Dương Mai,554277007786,2003-10-01,594502049,duongmai24@gmail.com
TS0067,Hà Nguyễn,201437223316,2005-04-03,775360949,hanguyen94@gmail.com
TS0068,Nhật Hoàng,258225301902,2005-06-03,334853293,nhathoang36@gmail.com
TS0069,Châu Hữu Phạm,957307828927,2007-05-27,599952767,chauhuupham49@gmail.com
TS0070,Quý cô Kim Lê,163167724496,2002-11-27,952173977,quycokimle57@gmail.com
